number,ref_short,year,ref_full,iso3c,website,download,check,category,accessed
1,OECD (2024),2024,,various,,,,OECD,
2,EUROSTAT (2024),2024,,various,,,,EUROSTAT,
3,ASTI (2017),2017,,various,,,,ASTI,
4,UNESCO (2021),2021,,various,,,,UNESCO,
5,ASTI (2014),2014,,various,,,,ASTI,
6,Pardey & Roseboom (1989),1989,"Pardey, P & H. Roseboom, ISNAR book",various,,,,Various,
7,Boyce & Evenson (1975),1975,,various,,,,Various,
8,ISNAR brief: Rwanda,1993,,RWA,,,,Various,
9,ISNAR brief: Niger,1993,Statistical Brief on the National Agricultural Research System of Niger,NER,,,,Various,
10,ISNAR brief: Malawi,1993,,MWI,,,,Various,
11,ISNAR brief: Botswana,1993,,BWA,,,,Various,
12,ISNAR brief: Kenya,1993,,KEN,,,,Various,
13,ISNAR brief: Colombia,1993,,COL,,,,Various,
14,ISNAR brief: Ethiopia,1994,,ETH,,,,Various,
15,ISNAR brief: Ghana,1994,,GHA,,,,Various,
16,ISNAR brief: Burkina Faso,1994,,BFA,,,,Various,
17,ISNAR brief: Senegal,1994,,SEN,,,,Various,
18,ISNAR brief: Mali,1994,,MLI,,,,Various,
19,ISNAR brief: Madagascar,1994,,MDG,,,,Various,
20,ISNAR brief: Namibia,1994,,NAM,,,,Various,
21,ISNAR brief: Cape Verde,1994,,CPV,,,,Various,
22,ISNAR brief: Nigeria,1994,,NGA,,,,Various,
23,ISNAR brief: Cote d'Ivoire,1994,,CIV,,,,Various,
24,ISNAR brief: Mauritius,1995,,MUS,,,,Various,
25,ISNAR brief: Lesotho,1995,,LSO,,,,Various,
26,ISNAR brief: Swaziland,1995,,SWZ,,,,Various,
27,ISNAR brief: Zimbabwe,1995,,ZWE,,,,Various,
28,ISNAR brief: Zambia,1995,,ZMB,,,,Various,
29,ISNAR brief: Sudan,1995,,SDN,,,,Various,
30,ISNAR brief: South Africa,1995,,ZAF,,,,Various,
31,ISNAR brief: Togo,1996,,TGO,,,,Various,
32,BFS,2017,,CHE,,,,National,
33,"State Secretariat for Education, Research and Innovation",2017,,CHE,,,,National,
34,EMPRESA (2014),2014,,CHE,,,EMPRESA CHE Report,National,
35,National statistics ESP,2017,,ESP,,,Check date,National,
36,Mullen (2010),2010,,AUS,,,,National,
37,Mullen & Keogh (2013),2013,,AUS,,,,National,
38,Carew (2001),2001,,CAN,,,,National,
39,Statistics Canada,2024,,CAN,,,,National,
40,OECD (2015),2015,,CAN,,,,OECD,
41,Kurath (1994),1994,,CHE,,,,National,
42,Fan et al. (2006),2006,,CHN,,,,National,
43,Hu et al. (2011),2011,,CHN,,,,National,
44,Fan & Pardey (1992),1992,,CHN,,,,National,
45,National statistics FRA,2016,,FRA,,,Check date,National,
46,INRA,2016,,FRA,,,Check date,National,
47,Thirtle et al. (2008),2008,,GBR,,,,National,
48,National statistics UK,2016,,GBR,,,Check date,National,
49,IMPRESA (2010),2010,,GBR,,,,National,
50,"Fuglie, p.c. (2016)",2016,,IDN,,,,National,
51,Pal & Byerlee (2006),2006,,IND,,,,National,
52,Esposti and Pierani (2006),2006,,ITA,,,,National,
53,IMPRESA (2014a),2014,,ITA,,EPRESA ITA report,,National,
54,Shamsadini et al. (2013),2013,,IRN,,,,National,
55,Choi et al. (2006),2006,,KOR,,,,National,
56,KISTEP (various issues),2016,,KOR,,,Check date,National,
57,Hall & Scobie (2006),2006,,NZL,,,,National,
58,National statistics NZL,2016,,NZL,,,,National,
59,Rutten (1992),1992,,NLD,,,,National,
60,Roseboom & Rutten (1999),1999,,NLD,,,,National,
61,National statistics PHL,2016,,PHL,,,Check date,National,
62,Liebenberg (2013),2013,,ZAF,,,,National,
63,Poapongsakorn (2011),2011,,THA,,,,National,
64,National statistics THA,2016,,THA,,,Check date,National,
65,Bervejillo et al. (2011),2011,,URY,,,,National,
66,Pardey et al. (2010),2010,,USA,,,,National,
67,USDA-ERS (old),2015,,USA,,,,National,
68,USDA-ERS (2016),2016,,USA,,,,National,
69,Statistics Canada,2024,,CAN,,,,National,
70,Agroscope (various issues),2016,,CHE,,,Check date,National,
71,National statistics ESP HR,2016,,ESP,,,Check date,National,
72,Ministere de l'Enseignement Superieur de la Recherche et de l'Innovation,2016,,FRA,,,Check date,National,
73,Fuglie and Piggott (2006),2016,,IDN,,,check year,National,
74,Pardey et al. (1999),1999,,various,,,,Various,
75,Van Dijk (2024),2024,,NLD,,,,National,
76,ASTI (2024),2024,,various,,,,ASTI,
77,Current Research Information System (various),2016,,USA,,,check year - should be various,National,
78,Chen et al. (2012),2012,,CHN,,,,National,
79,Babu et al. (2015),2015,,CHN,,,,National,
80,Huang & Rozelle (2014),2014,,CHN,,,,National,
81,Huang (2004),2004,,CHN,,,,National,
82,Ratinger and Kristkova (2015),2015,,CZE and SVK,,,,National,
83,FAO (2024),2024,,various,,,,FAO,
84,Stads et al. (2020),2020,,various,,,,ASTI,
85,Beintema et al. (2020),2020,,various,,,,ASTI,
86,Fuglie (2024),2024,,various,,,,ERS,
87,Pardey et al. (1991),1991,,various,,,,Various,
88,ASTI (2024a),2024,,West African countries,,,,ASTI,
89,USDA (various),various,,USD and territories,,,,USDA,
90,RICYT (2024),2024,,Latin America,,,,RICYT,
91,EUROSTAT (2024) & OECD (2024),2024,,various,,,,EUROSTAT & OECD,
92,Heisey & Fuglie (2018),2018,,high-income,,,,USDA,
93,Echeverria et al. (1998),1998,,BOL,,,,ISNAR,
94,"National Development Council, R.O.C. (Taiwan) (various)",various,,TWN,,,,National,
